"","scientificName","family","eventDate","decimalLongitude","decimalLatitude","basisOfRecord","date_year","individualCount","identifiedBy","datasetID","datasetName","dataset_id","institutionCode","ownerInstitutionCode","collectionCode","catalogNumber","occurrenceStatus","samplingEffort"
"257","Morus bassanus","Sulidae","2005-01-20T12:37:00",-75.833,34.9788,"HumanObservation",2005,1,NA,"298","Cape Hatteras 04-05","d5cd9197-6fce-46f4-a3da-070fc9a6aa8d","DON","DOD;DON","298","298_628","present",NA
"258","Calonectris diomedea","Procellariidae","2004-08-11T12:58:00",-74.811,35.7505,"HumanObservation",2004,1,NA,"298","Cape Hatteras 04-05","d5cd9197-6fce-46f4-a3da-070fc9a6aa8d","DON","DOD;DON","298","298_263","present",NA
"259","Larus marinus","Laridae","2005-01-31T12:57:00",-76.6523,34.4725,"HumanObservation",2005,1,NA,"298","Cape Hatteras 04-05","d5cd9197-6fce-46f4-a3da-070fc9a6aa8d","DON","DOD;DON","298","298_1040","present",NA
"260","Morus bassanus","Sulidae","2005-01-21T09:41:00",-75.7698,35.0462,"HumanObservation",2005,1,NA,"298","Cape Hatteras 04-05","d5cd9197-6fce-46f4-a3da-070fc9a6aa8d","DON","DOD;DON","298","298_741","present",NA
"261","Morus bassanus","Sulidae","2005-01-25T13:56:00",-76.174,34.7865,"HumanObservation",2005,1,NA,"298","Cape Hatteras 04-05","d5cd9197-6fce-46f4-a3da-070fc9a6aa8d","DON","DOD;DON","298","298_907","present",NA
"262","Morus bassanus","Sulidae","2005-01-19T12:19:00",-76.0253,34.8212,"HumanObservation",2005,1,NA,"298","Cape Hatteras 04-05","d5cd9197-6fce-46f4-a3da-070fc9a6aa8d","DON","DOD;DON","298","298_394","present",NA
"263","Morus bassanus","Sulidae","2005-01-21T10:02:00",-75.73,35.0655,"HumanObservation",2005,2,NA,"298","Cape Hatteras 04-05","d5cd9197-6fce-46f4-a3da-070fc9a6aa8d","DON","DOD;DON","298","298_754","present",NA
"264","Morus bassanus","Sulidae","2005-01-31T12:47:00",-76.6308,34.4767,"HumanObservation",2005,1,NA,"298","Cape Hatteras 04-05","d5cd9197-6fce-46f4-a3da-070fc9a6aa8d","DON","DOD;DON","298","298_1034","present",NA
"265","Morus bassanus","Sulidae","2005-01-21T09:37:00",-75.7767,35.0428,"HumanObservation",2005,2,NA,"298","Cape Hatteras 04-05","d5cd9197-6fce-46f4-a3da-070fc9a6aa8d","DON","DOD;DON","298","298_738","present",NA
"266","Morus bassanus","Sulidae","2005-01-21T10:37:00",-75.6632,35.0972,"HumanObservation",2005,1,NA,"298","Cape Hatteras 04-05","d5cd9197-6fce-46f4-a3da-070fc9a6aa8d","DON","DOD;DON","298","298_776","present",NA
"267","Morus bassanus","Sulidae","2005-01-19T08:39:00",-76.268,34.6723,"HumanObservation",2005,1,NA,"298","Cape Hatteras 04-05","d5cd9197-6fce-46f4-a3da-070fc9a6aa8d","DON","DOD;DON","298","298_346","present",NA
"268","Puffinus lherminieri","Procellariidae","2004-08-05T08:03:00",-74.6328,35.6108,"HumanObservation",2004,1,NA,"298","Cape Hatteras 04-05","d5cd9197-6fce-46f4-a3da-070fc9a6aa8d","DON","DOD;DON","298","298_23","present",NA
"269","Alca torda","Alcidae","2005-01-20T16:18:00",-75.8005,34.9193,"HumanObservation",2005,1,NA,"298","Cape Hatteras 04-05","d5cd9197-6fce-46f4-a3da-070fc9a6aa8d","DON","DOD;DON","298","298_675","present",NA
"270","Morus bassanus","Sulidae","2005-01-21T12:09:00",-75.6918,35.049,"HumanObservation",2005,1,NA,"298","Cape Hatteras 04-05","d5cd9197-6fce-46f4-a3da-070fc9a6aa8d","DON","DOD;DON","298","298_853","present",NA
"271","Larus philadelphia","Laridae","2005-01-25T14:50:00",-76.0953,34.8595,"HumanObservation",2005,1,NA,"298","Cape Hatteras 04-05","d5cd9197-6fce-46f4-a3da-070fc9a6aa8d","DON","DOD;DON","298","298_912","present",NA
"272","Larus marinus","Laridae","2005-01-31T14:25:00",-76.8063,34.459,"HumanObservation",2005,1,NA,"298","Cape Hatteras 04-05","d5cd9197-6fce-46f4-a3da-070fc9a6aa8d","DON","DOD;DON","298","298_1054","present",NA
"273","Larus philadelphia","Laridae","2005-01-21T12:23:00",-75.7177,35.033,"HumanObservation",2005,3,NA,"298","Cape Hatteras 04-05","d5cd9197-6fce-46f4-a3da-070fc9a6aa8d","DON","DOD;DON","298","298_860","present",NA
"274","Morus bassanus","Sulidae","2005-01-20T12:36:00",-75.8317,34.9798,"HumanObservation",2005,1,NA,"298","Cape Hatteras 04-05","d5cd9197-6fce-46f4-a3da-070fc9a6aa8d","DON","DOD;DON","298","298_625","present",NA
"275","Morus bassanus","Sulidae","2005-01-19T10:46:00",-76.251,34.6838,"HumanObservation",2005,2,NA,"298","Cape Hatteras 04-05","d5cd9197-6fce-46f4-a3da-070fc9a6aa8d","DON","DOD;DON","298","298_357","present",NA
"276","Morus bassanus","Sulidae","2005-01-20T07:44:00",-76.0752,34.9178,"HumanObservation",2005,1,NA,"298","Cape Hatteras 04-05","d5cd9197-6fce-46f4-a3da-070fc9a6aa8d","DON","DOD;DON","298","298_500","present",NA
