"","scientificName","family","eventDate","decimalLongitude","decimalLatitude","basisOfRecord","date_year","individualCount","identifiedBy","datasetID","datasetName","dataset_id","institutionCode","ownerInstitutionCode","collectionCode","catalogNumber","occurrenceStatus","samplingEffort"
"92","Larus marinus","Laridae","2005-07-29T19:04:48Z",-69.47766495,43.09680367,"HumanObservation",2005,NA,NA,NA,NA,"dcfd7b00-e5d5-489b-9843-e8364f6a2a52","GoMA",NA,"Platts Bank Aerial Survey","11651",NA,NA
"93","Puffinus gravis","Procellariidae","2005-07-23T18:46:12Z",-69.47684097,43.09874344,"HumanObservation",2005,NA,NA,NA,NA,"dcfd7b00-e5d5-489b-9843-e8364f6a2a52","GoMA",NA,"Platts Bank Aerial Survey","7092",NA,NA
"94","Larus marinus","Laridae","2005-07-15T19:42:36Z",-69.48374558,43.13199997,"HumanObservation",2005,NA,NA,NA,NA,"dcfd7b00-e5d5-489b-9843-e8364f6a2a52","GoMA",NA,"Platts Bank Aerial Survey","3075",NA,NA
"95","Puffinus gravis","Procellariidae","2005-07-21T14:30:36Z",-69.9782486,43.05425453,"HumanObservation",2005,NA,NA,NA,NA,"dcfd7b00-e5d5-489b-9843-e8364f6a2a52","GoMA",NA,"Platts Bank Aerial Survey","6221",NA,NA
"96","Larus argentatus","Laridae","2005-07-21T14:39:36Z",-70.08433533,43.11408043,"HumanObservation",2005,NA,NA,NA,NA,"dcfd7b00-e5d5-489b-9843-e8364f6a2a52","GoMA",NA,"Platts Bank Aerial Survey","6276",NA,NA
"97","Oceanites oceanicus","Hydrobatidae","2005-07-28T20:04:48Z",-69.45475388,43.04949951,"HumanObservation",2005,NA,NA,NA,NA,"dcfd7b00-e5d5-489b-9843-e8364f6a2a52","GoMA",NA,"Platts Bank Aerial Survey","10792",NA,NA
"98","Oceanites oceanicus","Hydrobatidae","2005-07-20T18:03:00Z",-69.58383179,43.24824905,"HumanObservation",2005,NA,NA,NA,NA,"dcfd7b00-e5d5-489b-9843-e8364f6a2a52","GoMA",NA,"Platts Bank Aerial Survey","3884",NA,NA
"99","Puffinus gravis","Procellariidae","2005-07-21T12:39:00Z",-69.54815674,43.19741631,"HumanObservation",2005,NA,NA,NA,NA,"dcfd7b00-e5d5-489b-9843-e8364f6a2a52","GoMA",NA,"Platts Bank Aerial Survey","5549",NA,NA
"100","Puffinus gravis","Procellariidae","2005-07-21T14:34:12Z",-69.9782486,43.05425453,"HumanObservation",2005,NA,NA,NA,NA,"dcfd7b00-e5d5-489b-9843-e8364f6a2a52","GoMA",NA,"Platts Bank Aerial Survey","6244",NA,NA
"101","Oceanites oceanicus","Hydrobatidae","2005-07-23T18:40:12Z",-69.47684097,43.09874344,"HumanObservation",2005,NA,NA,NA,NA,"dcfd7b00-e5d5-489b-9843-e8364f6a2a52","GoMA",NA,"Platts Bank Aerial Survey","7056",NA,NA
"102","Larus marinus","Laridae","2005-07-12T15:52:12Z",-69.58181763,43.25140953,"HumanObservation",2005,NA,NA,NA,NA,"dcfd7b00-e5d5-489b-9843-e8364f6a2a52","GoMA",NA,"Platts Bank Aerial Survey","1392",NA,NA
"103","Larus marinus","Laridae","2005-07-26T14:50:24Z",-69.6099205,43.30024529,"HumanObservation",2005,NA,NA,NA,NA,"dcfd7b00-e5d5-489b-9843-e8364f6a2a52","GoMA",NA,"Platts Bank Aerial Survey","8784",NA,NA
"104","Larus argentatus","Laridae","2005-07-24T17:16:48Z",-69.55111694,43.19910049,"HumanObservation",2005,NA,NA,NA,NA,"dcfd7b00-e5d5-489b-9843-e8364f6a2a52","GoMA",NA,"Platts Bank Aerial Survey","7806",NA,NA
"105","Oceanites oceanicus","Hydrobatidae","2005-07-23T17:15:36Z",-69.58174896,43.24757957,"HumanObservation",2005,NA,NA,NA,NA,"dcfd7b00-e5d5-489b-9843-e8364f6a2a52","GoMA",NA,"Platts Bank Aerial Survey","6541",NA,NA
"106","Oceanites oceanicus","Hydrobatidae","2005-07-20T19:59:24Z",-69.47299576,43.09941483,"HumanObservation",2005,NA,NA,NA,NA,"dcfd7b00-e5d5-489b-9843-e8364f6a2a52","GoMA",NA,"Platts Bank Aerial Survey","4594",NA,NA
"107","Oceanites oceanicus","Hydrobatidae","2005-07-28T19:48:36Z",-69.47741318,43.09791946,"HumanObservation",2005,NA,NA,NA,NA,"dcfd7b00-e5d5-489b-9843-e8364f6a2a52","GoMA",NA,"Platts Bank Aerial Survey","10696",NA,NA
"108","Larus argentatus","Laridae","2005-07-21T12:03:36Z",-69.58708191,43.24125099,"HumanObservation",2005,NA,NA,NA,NA,"dcfd7b00-e5d5-489b-9843-e8364f6a2a52","GoMA",NA,"Platts Bank Aerial Survey","5336",NA,NA
"109","Larus marinus","Laridae","2005-07-28T17:42:36Z",-69.61541367,43.3029995,"HumanObservation",2005,NA,NA,NA,NA,"dcfd7b00-e5d5-489b-9843-e8364f6a2a52","GoMA",NA,"Platts Bank Aerial Survey","9935",NA,NA
"110","Oceanites oceanicus","Hydrobatidae","2005-07-21T14:45:00Z",-70.06332779,43.21608353,"HumanObservation",2005,NA,NA,NA,NA,"dcfd7b00-e5d5-489b-9843-e8364f6a2a52","GoMA",NA,"Platts Bank Aerial Survey","6308",NA,NA
"111","Larus marinus","Laridae","2005-07-26T17:20:24Z",-69.96482468,43.05458069,"HumanObservation",2005,NA,NA,NA,NA,"dcfd7b00-e5d5-489b-9843-e8364f6a2a52","GoMA",NA,"Platts Bank Aerial Survey","9685",NA,NA
"112","Puffinus puffinus","Procellariidae","2005-07-21T14:01:12Z",-69.4772644,43.09127426,"HumanObservation",2005,NA,NA,NA,NA,"dcfd7b00-e5d5-489b-9843-e8364f6a2a52","GoMA",NA,"Platts Bank Aerial Survey","6042",NA,NA
"113","Larus marinus","Laridae","2005-07-23T18:49:12Z",-69.47684097,43.09874344,"HumanObservation",2005,NA,NA,NA,NA,"dcfd7b00-e5d5-489b-9843-e8364f6a2a52","GoMA",NA,"Platts Bank Aerial Survey","7108",NA,NA
"114","Larus marinus","Laridae","2005-07-23T17:18:00Z",-69.58174896,43.24757957,"HumanObservation",2005,NA,NA,NA,NA,"dcfd7b00-e5d5-489b-9843-e8364f6a2a52","GoMA",NA,"Platts Bank Aerial Survey","6555",NA,NA
