"","scientificName","family","eventDate","decimalLongitude","decimalLatitude","basisOfRecord","date_year","individualCount","identifiedBy","datasetID","datasetName","dataset_id","institutionCode","ownerInstitutionCode","collectionCode","catalogNumber","occurrenceStatus","samplingEffort"
"50","Anous stolidus","Sternidae","10/2/2017",-51.780915,7.317523,"HumanObservation",2017,NA,NA,"1404","Observatoire Pelagis aerial surveys 2002-2018","2101d4c5-c20b-49c0-a44b-3d6484c4c891","PELAGIS","PELAGIS","1404","1404_111856","present",NA
"51","Larus atricilla","Laridae","9/29/2017",-52.450883,5.131588,"HumanObservation",2017,NA,NA,"1404","Observatoire Pelagis aerial surveys 2002-2018","2101d4c5-c20b-49c0-a44b-3d6484c4c891","PELAGIS","PELAGIS","1404","1404_113762","present",NA
"52","Fregata magnificens","Fregatidae","10/4/2017",-52.295413,5.024902,"HumanObservation",2017,NA,NA,"1404","Observatoire Pelagis aerial surveys 2002-2018","2101d4c5-c20b-49c0-a44b-3d6484c4c891","PELAGIS","PELAGIS","1404","1404_112841","present",NA
"53","Anous stolidus","Sternidae","9/30/2017",-50.776243,5.789533,"HumanObservation",2017,NA,NA,"1404","Observatoire Pelagis aerial surveys 2002-2018","2101d4c5-c20b-49c0-a44b-3d6484c4c891","PELAGIS","PELAGIS","1404","1404_111838","present",NA
"54","Larus atricilla","Laridae","10/10/2008",-52.48202,5.08064,"HumanObservation",2008,NA,NA,"1404","Observatoire Pelagis aerial surveys 2002-2018","2101d4c5-c20b-49c0-a44b-3d6484c4c891","PELAGIS","PELAGIS","1404","1404_1141","present",NA
"55","Anous stolidus","Sternidae","9/26/2017",-52.6907,6.130148,"HumanObservation",2017,NA,NA,"1404","Observatoire Pelagis aerial surveys 2002-2018","2101d4c5-c20b-49c0-a44b-3d6484c4c891","PELAGIS","PELAGIS","1404","1404_111841","present",NA
"56","Anous stolidus","Sternidae","10/10/2008",-52.50855,8.7089,"HumanObservation",2008,NA,NA,"1404","Observatoire Pelagis aerial surveys 2002-2018","2101d4c5-c20b-49c0-a44b-3d6484c4c891","PELAGIS","PELAGIS","1404","1404_1092","present",NA
"57","Fregata magnificens","Fregatidae","10/10/2008",-52.98549,7.40387,"HumanObservation",2008,NA,NA,"1404","Observatoire Pelagis aerial surveys 2002-2018","2101d4c5-c20b-49c0-a44b-3d6484c4c891","PELAGIS","PELAGIS","1404","1404_1110","present",NA
"58","Anous stolidus","Sternidae","10/2/2017",-51.39874,7.608938,"HumanObservation",2017,NA,NA,"1404","Observatoire Pelagis aerial surveys 2002-2018","2101d4c5-c20b-49c0-a44b-3d6484c4c891","PELAGIS","PELAGIS","1404","1404_111863","present",NA
"59","Larus atricilla","Laridae","10/5/2017",-52.82079,5.509882,"HumanObservation",2017,NA,NA,"1404","Observatoire Pelagis aerial surveys 2002-2018","2101d4c5-c20b-49c0-a44b-3d6484c4c891","PELAGIS","PELAGIS","1404","1404_113776","present",NA
"60","Larus atricilla","Laridae","10/1/2008",-53.90714,5.93672,"HumanObservation",2008,NA,NA,"1404","Observatoire Pelagis aerial surveys 2002-2018","2101d4c5-c20b-49c0-a44b-3d6484c4c891","PELAGIS","PELAGIS","1404","1404_650","present",NA
"61","Anous stolidus","Sternidae","9/29/2017",-52.39373,5.18221,"HumanObservation",2017,NA,NA,"1404","Observatoire Pelagis aerial surveys 2002-2018","2101d4c5-c20b-49c0-a44b-3d6484c4c891","PELAGIS","PELAGIS","1404","1404_111837","present",NA
"62","Anous stolidus","Sternidae","9/26/2017",-51.90615,7.485928,"HumanObservation",2017,NA,NA,"1404","Observatoire Pelagis aerial surveys 2002-2018","2101d4c5-c20b-49c0-a44b-3d6484c4c891","PELAGIS","PELAGIS","1404","1404_111858","present",NA
"63","Larus atricilla","Laridae","10/2/2017",-52.67473,5.417473,"HumanObservation",2017,NA,NA,"1404","Observatoire Pelagis aerial surveys 2002-2018","2101d4c5-c20b-49c0-a44b-3d6484c4c891","PELAGIS","PELAGIS","1404","1404_113769","present",NA
"64","Larus atricilla","Laridae","10/5/2017",-53.28204,5.7504,"HumanObservation",2017,NA,NA,"1404","Observatoire Pelagis aerial surveys 2002-2018","2101d4c5-c20b-49c0-a44b-3d6484c4c891","PELAGIS","PELAGIS","1404","1404_113806","present",NA
"65","Anous stolidus","Sternidae","9/26/2017",-51.88504,7.502877,"HumanObservation",2017,NA,NA,"1404","Observatoire Pelagis aerial surveys 2002-2018","2101d4c5-c20b-49c0-a44b-3d6484c4c891","PELAGIS","PELAGIS","1404","1404_111860","present",NA
"66","Fregata magnificens","Fregatidae","10/10/2008",-52.41011,5.46173,"HumanObservation",2008,NA,NA,"1404","Observatoire Pelagis aerial surveys 2002-2018","2101d4c5-c20b-49c0-a44b-3d6484c4c891","PELAGIS","PELAGIS","1404","1404_1111","present",NA
"67","Anous stolidus","Sternidae","10/8/2008",-50.56925,6.77928,"HumanObservation",2008,NA,NA,"1404","Observatoire Pelagis aerial surveys 2002-2018","2101d4c5-c20b-49c0-a44b-3d6484c4c891","PELAGIS","PELAGIS","1404","1404_989","present",NA
